text,true_emotion,predicted_emotion
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,sadness
"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom",joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,sadness
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
@trashcami this cured my depression,sadness,joy
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,fear
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz ,sadness,sadness
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
This world has some serious issues we should all go to therapy,sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,fear
My life went from happy to unhappy..,sadness,sadness
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,sadness
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
