id,post,emotion
0x16599f,"I have had this same bug once as well. Idk what caused it, but it fixed itself next",surprise
0x2dc142,"I mean... It also has Strength as a ""fantasy power""? I don't get this joke",surprise
0x1b3d4b,"Oh wow, that caught me off guard!",surprise
0x55b241,I want to know what goes through someone's mind when they do this.,surprise
0x1a2bab,That’s a shocking but fun surprise!,surprise
0xdf5498,"I'm curious as to how HIMYM affected you, if you would like to explain. I've watched it so many times.",surprise
0xab8008,"Police aside, storms and high tides may make things a little tricky",surprise
0x0b393c,Ah I was confused which side you were on P,surprise
0x1b3d75,"Oh wow, what a twist!",surprise
0x1b3dfe,"Oh my, genuinely shocked!",surprise
0x1324c1,Maybe that's what the jerseys looked like 7 years ago when that photo of <NAME> was taken.,surprise
0xdccd65,Definitely surprised we took out <NAME> there. We needed to finish the quarter strong and it went straight to shit when he left.,surprise
0x4f85a8,Such a <NAME> thing to do. Next thing we know he will speculate that <NAME> and <NAME> will sign by February 31st at the latest.,surprise
0x3b199b,"...starts Jan 1. ""Published Jan 2"" Way to hit that breaking news.",surprise
0x2b4524,What type of migraine do you think it is? Hope you get better soon,surprise
0xb8a8f8,Does this not happen to all people? If not then at least I found out a little more about why this always happens to me.,surprise
0x104ea1,I was just thinking how normal his legs and feet look!,surprise
0xda190c,This cut so terribly deep and touched places I had hidden away. I'm at a loss for words.,sadness
0x0011dd,I feel trapped in a sadness that never leaves me.,sadness
0xbbdd00,Some moments that should be joyful only remind me of loss.,sadness
0x1a2bef,I wish I could cry without anyone noticing.,sadness
0x1a2bfe,I feel like everything I do is never enough.,sadness
0x31c51d,It's not cool that so many are going without pay and unable to make rent or buy groceries. Is a travesty that a manufactured crisis has come to this,sadness
0xaa7979,"Through this exhausting journey, facing all the disputes, he never gave up — still training diligently. I hope his innocence will be proven soon!",sadness
0x8af138,if it wasn't him it would be someone else she's wasting her life on,sadness
0xc56a86,I tried to but i ended up booing the postman,sadness
0x927024,"There’s a lot of us ladies here, unfortunately pensive_face",sadness
0x1a2dda,I feel like joy has abandoned me completely.,sadness
0x1a2d4f,Even the smallest pleasures feel impossible to enjoy.,sadness
0x7f8a9b,Everything around me feels muted,sadness
0x1a2cb9,Even the streets I walk daily feel cold and distant.,sadness
0x71a809,6 and he died of cancer iirc,sadness
0x1a2dd7,Even the coziest corners of my home feel empty and hollow.,sadness
0xec589e,I got offered a couple of batches. They weren't 100% terrible but I feel like they could've been better so I didn't take them.,sadness
0x6680aa,"I misunderstood ""come back strong""",sadness
0xe72f7b,Same frowning_face,sadness
0x5aa442,"Comments like these are the biggest reason I get so pissed off about fucking centrists crying about the ""both sides"" argument.",sadness
0x6db860,"It still baffles me how they cover for him, and his trace amounts, when they’re in his body because he cheated in the first place.",sadness
0xde7791,<USER> #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions,sadness
0x89b1ae,My whole life’s been a lie,sadness
0x738a42,Anyone that emotional that passes on gains because of some grudge he holds for a coin shouldn't be involved in crypto.,sadness
0x40dce9,He said he’d come back,sadness
0xbb3809,"Yes of mine worry, no one liked mine either.",sadness
0x667733,I wish I could see the world through lighter eyes.,sadness
0x33ae71,"We're in contained depression. Only new economic engine is #Sustainability, say Joel <USER> + <USER> @ #VERGEcon. #NewGrandStrategy",sadness
0xddeeee,Even memories of laughter now feel like echoes in a hollow room.,sadness
0x28f895,This whole sub makes me sad.,sadness
